Alloy,Processing,Temperature (°C),Status,Ni (wt%),Cr (wt%),Co (wt%),Mo (wt%),W (wt%),Al (wt%),Ti (wt%),Ta (wt%),Nb (wt%),Re (wt%),C (wt%),B (wt%),Zr (wt%),Target YS (MPa),Predicted YS (MPa),YS Achievement (%),YS 95% CI (MPa),Target UTS (MPa),Predicted UTS (MPa),UTS Achievement (%),UTS 95% CI (MPa),Target El (%),Predicted El (%),El Achievement (%),El 95% CI (%),Target EM (GPa),Predicted EM (GPa),EM Achievement (%),EM 95% CI (GPa),Target Density (g/cm³),Predicted Density (g/cm³),Target γ' (vol%),Predicted γ' (vol%),Md_avg,Md_matrix,TCP Risk,γ/γ' Misfit (%),Refractory (wt%),Al+Ti (wt%),Phase 1 Attempts,Phase 1 Best TCP,Guard Fixes,Tuner Converged,Tuner Steps,Corrections Applied,Key Issues,Design Time (s)
Alloy_A,wrought,20,INCOMPLETE,55.12,13.0,20.7,2.7,0.5,3.5,1.75,1.6,1.0,,0.06,0.01,0.06,1080,959.4,88.8,863.5–1055.3,1550,1387.7,89.5,1248.9–1526.5,,21.0,,17.9–24.1,200,208.5,104.2,198.0–218.9,,7.97,,36.4,0.894,0.894,Low,0.825,5.8,5.25,3,Moderate,1 fixes,False,15,YS: 824.2→959.4; UTS: 1192.2→1387.7,Misfit 0.825% > 0.8%; YS 89% of target,52.4
Alloy_B,wrought,20,INCOMPLETE,59.86,13.0,15.5,2.0,,4.0,1.0,3.0,1.5,,0.06,0.01,0.07,1150,1015.3,88.3,913.8–1116.8,1640,1441.3,87.9,1297.2–1585.4,,16.4,,13.9–18.9,210,208.7,99.4,198.3–219.1,,7.96,,41.4,0.894,0.894,Low,0.807,6.5,5.0,1,Low,None,False,9,YS: 843.9→1015.3; UTS: 1198.0→1441.3; El: 20.6→16.4,Misfit 0.807% > 0.8%; YS 88% of target; UTS 88% of target,28.2
Alloy_C,wrought,20,INCOMPLETE,55.86,10.0,19.0,3.0,3.5,5.5,0.5,1.5,1.0,,0.06,0.01,0.07,1180,1074.8,91.1,967.3–1182.3,1610,1434.6,89.1,1291.1–1578.1,,17.3,,14.7–19.9,220,200.7,91.2,190.6–210.7,,7.89,,45.6,0.960,0.906,Moderate,0.486,9.0,6.0,1,Moderate,1 fixes,False,6,YS: 922.8→1074.8; UTS: 1231.7→1434.6,UTS 89% of target,31.0
Alloy_D,wrought,20,INCOMPLETE,54.84,12.0,18.0,2.0,4.0,4.5,1.0,2.5,1.0,,0.07,0.01,0.08,1230,1056.4,85.9,950.8–1162.0,1600,1413.2,88.3,1271.9–1554.5,,16.8,,14.3–19.3,210,206.8,98.5,196.5–217.2,,8.03,,43.5,0.958,0.909,Moderate,0.647,9.5,5.5,1,Moderate,1 fixes,False,3,YS: 939.9→1056.4; UTS: 1257.4→1413.2,YS 86% of target; UTS 88% of target,20.8
Alloy_E,wrought,20,INCOMPLETE,56.36,11.0,18.0,3.0,3.0,5.0,1.0,1.5,1.0,,0.06,0.01,0.07,1080,1073.4,99.4,966.1–1180.7,1560,1425.9,91.4,1283.3–1568.5,,16.0,,13.6–18.4,220,204.5,93.0,194.3–214.8,,7.9,,45.2,0.960,0.908,Moderate,0.55,8.5,6.0,1,Moderate,None,False,5,YS: 936.4→1073.4; UTS: 1244.0→1425.9,None,23.2
Alloy_F,wrought,20,INCOMPLETE,57.54,12.0,16.0,3.0,1.82,4.5,1.0,2.5,1.5,,0.06,0.01,0.07,1150,1075.4,93.5,967.9–1182.9,1600,1461.5,91.3,1315.3–1607.7,,20.0,,17.0–23.0,210,209.0,99.5,198.5–219.4,,7.95,,45.4,0.957,0.909,Moderate,0.659,8.82,5.5,1,Moderate,None,False,15,YS: 936.2→1075.4; UTS: 1272.3→1461.5,None,36.9
Alloy_G,wrought,20,INCOMPLETE,54.38,13.0,18.0,1.5,4.0,4.5,1.0,2.5,1.0,,0.06,0.01,0.05,1090,853.3,78.3,768.0–938.6,1590,1138.3,71.6,1024.5–1252.1,,16.0,,13.6–18.4,210,205.6,97.9,195.4–215.9,,8.01,,43.1,0.959,0.911,Moderate,0.677,9.0,5.5,1,Moderate,None,False,4,YS: 948.1→853.3,YS 78% of target; UTS 72% of target,20.6
Alloy_H,wrought,20,INCOMPLETE,56.36,14.5,17.0,,2.0,3.5,1.0,4.0,1.5,,0.06,0.01,0.07,1040,998.9,96.0,899.0–1098.8,1520,1388.8,91.4,1249.9–1527.7,,17.0,,14.4–19.6,210,204.0,97.2,193.8–214.2,,8.11,,39.2,0.896,0.896,Low,0.959,7.5,4.5,2,Low,1 fixes,False,15,YS: 876.2→998.9; UTS: 1218.2→1388.8; El: 21.0→17.0,Misfit 0.959% > 0.8%,48.8
Alloy_I,wrought,20,INCOMPLETE,61.4,12.0,15.0,2.0,3.0,4.0,,2.0,0.5,,0.04,0.01,0.05,830,763.3,92.0,687.0–839.6,1240,1030.6,83.1,927.5–1133.7,25,27.0,108.0,22.9–31.1,210,202.9,96.6,192.8–213.1,,8.13,,27.4,0.886,0.886,Low,0.463,7.5,4.0,3,Low,2 fixes,False,11,None,UTS 83% of target,35.2
Alloy_J,wrought,760,INCOMPLETE,57.4,11.0,18.0,3.5,3.0,4.5,0.5,1.5,0.5,,0.04,0.01,0.05,750,799.8,106.6,719.8–879.8,900,926.1,102.9,833.5–1018.7,15,25.0,166.7,21.2–28.8,170,154.6,90.9,146.8–162.3,,8.03,,34.7,0.899,0.899,Low,0.454,8.5,5.0,1,Low,None,False,3,None,None,19.8
